sm04010103201|i vremenska prognoza za poslijepodne na jadranu prete`ito a u unutra{njosti djelomice sun~ano obla~no i tmurno samo ponegdje u sjeverozapadnom podru~ju i u lici
sm04010103301|ciklona nad ju`nim jadranom i jonskim morem premje{ta se dalje na jugoistok
sm04010105101|dobar vam dan po{tovane slu{ateljice i po{tovani slu{atelji i sretna vam nova godina
sm04010105102|<uzdah> hrvatski su gra}ani novu godinu do~ekali u svojim domovima i na trgovima ve^ih gradova <sil>
sm04010105103|<uzdah> do~ek nove godine u svijetu u sjeni je tragedije u jugoisto~noj aziji <sil>
sm04010105104|<uzdah> u tom je podru~ju i danas zabilje`en potres jakosti sedam stupnjeva
sm04010105105|<uzdah> to~no u pono^ po~ela je izborna {utnja
sm04010105106|<uzdah> uo~i sutra{njih <sil> predsjedni~kih izbora
sm04010105107|<uzdah> vrijeme poslijepodne na jadranu prete`ito sun~ano
sm04010105108|<uzdah> obla~nije na sjevernome dijelu
sm04010105109|<uzdah> a u unutra{njosti uglavnom obla~no
sm04010105110|<uzdah> dubrov~ani i njihovi gosti novu dvije tisu^e petu
sm04010105111|<uzdah> do~ekali su na vi{e zanimljivih mjesta
sm04010105112|<uzdah> a glavni tradicionalni do~ek i protekle no^i bio
sm04010105113|<uzdah> na najpoznatijoj dubrova~koj ulici stradunu
sm04010105114|<uzdah> prepunom posjetitelja
sm04010105115|<uzdah> njih su zabavljali marija~i los kabaljeros <sil> sastav bra^e bre{kovi^
sm04010105116|<uzdah> i klapa subrenum <sil>
sm04010105117|<uzdah> na babinu kuku uglavnom za mla}e posjetitelje svirali su kolonija i i ti
sm04010105118|<uzdah> novogodi{nja zabava i ove je godine odr`ana
sm04010105119|<uzdah> u lazaretima
sm04010105120|<uzdah> gdje su nastupili doma^i i strani disk #okeji
sm04010105121|<uzdah> do~ek nove godine u svijetu po~eo je molitvama i pozivima za donacije `rtvama
sm04010105122|<uzdah> pro{lotjednoga cunamija
sm04010105123|<uzdah> u jugoisto~noj aziji
sm04010105124|<uzdah> ali su se proslave i vatrometi ipak organizirali gotovo u cijelom svijetu
sm04010105125|<uzdah> kako javljaju agencije u sidniju
sm04010105126|<uzdah> prvoj svjetskoj metropoli koja je do~ekala novu godinu <sil> uobi~ajeni se vatromet mogao pratiti iz luke <sil> ali nakon minute {utnje za stradale u cunamiju
